archetype,market_id,day_ordinal,day_utc,day_start_utc,day_end_exclusive_utc,day_start_block,day_end_block_exclusive,status,opening_event_sequence,closing_event_sequence,opening_total_supply_assets,opening_total_supply_shares,opening_total_borrow_assets,opening_total_borrow_shares,opening_total_collateral_assets,closing_total_supply_assets,closing_total_supply_shares,closing_total_borrow_assets,closing_total_borrow_shares,closing_total_collateral_assets,total_event_count,supply_event_count,withdraw_event_count,borrow_event_count,repay_event_count,supply_collateral_event_count,withdraw_collateral_event_count,liquidate_event_count,accrue_interest_event_count,supply_assets_in,supply_shares_minted,withdraw_assets_out,withdraw_shares_burned,borrow_assets_out,borrow_shares_minted,repay_assets_in,repay_shares_burned,collateral_assets_in,collateral_assets_withdrawn,accrued_interest_assets,accrued_fee_shares,liquidation_repaid_assets,liquidation_repaid_shares,liquidation_seized_collateral_assets,liquidation_bad_debt_assets,liquidation_bad_debt_shares,first_event_block,last_event_block
accepted_drip_market,0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,35,2025-08-13,2025-08-13T00:00:00Z,2025-08-14T00:00:00Z,367808426,368154693,active,0,5,0,0,0,0,0,1000000,1000000000000,1000000,1000000000000,697659005208024,5,1,0,1,0,1,0,0,2,1000000,1000000000000,0,0,1000000,1000000000000,0,0,697659005208024,0,0,0,0,0,0,0,0,368089252,368089262
accepted_drip_market,0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,805,814,608373893127,582134428021741517,528659776389,503825296340435706,245436020749874883044,589799302933,564328048358908765,531194921692,506207546763030281,247068657730672784445,9,1,1,1,1,1,0,0,4,17714405,16949957425856,18627649902,17823329620258608,2500000000,2382441014607446,200000,190592012871,1632636980797901401,0,35345303,0,0,0,0,0,0,425611122,425795734
accepted_drip_market,0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,3053,3053,752084012250,707632300844512296,637121934864,595673615655400770,458137688797398720905,752084012250,707632300844512296,637121934864,595673615655400770,458137688797398720905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x30c505b1ce479157e1035bdc5de3d4c811cf3e427c31db0b81b5c27a09054e97,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x30c505b1ce479157e1035bdc5de3d4c811cf3e427c31db0b81b5c27a09054e97,64,2025-09-11,2025-09-11T00:00:00Z,2025-09-12T00:00:00Z,377843094,378188849,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x30c505b1ce479157e1035bdc5de3d4c811cf3e427c31db0b81b5c27a09054e97,65,2025-09-12,2025-09-12T00:00:00Z,2025-09-13T00:00:00Z,378188849,378534625,active,0,5,0,0,0,0,0,25000,25000000000,25000,25000000000,500000,5,1,0,1,0,1,0,0,2,25000,25000000000,0,0,25000,25000000000,0,0,500000,0,0,0,0,0,0,0,0,378310164,378310210
accepted_drip_market,0x30c505b1ce479157e1035bdc5de3d4c811cf3e427c31db0b81b5c27a09054e97,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,13924,13925,14335174589,13881771025863641,12040809891,11619986438024310,16086807080,14366444412,13881771025863641,12072079714,11619986438024310,16086807080,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31269823,0,0,0,0,0,0,425589384,425589384
accepted_drip_market,0x30c505b1ce479157e1035bdc5de3d4c811cf3e427c31db0b81b5c27a09054e97,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,14055,14055,13002662,12015775255306,13002662,11873010665464,15294474,13002662,12015775255306,13002662,11873010665464,15294474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x33e0c8ab132390822b07e5dc95033cf250c963153320b7ffca73220664da2ea0,8,2025-07-17,2025-07-17T00:00:00Z,2025-07-18T00:00:00Z,358466906,358813157,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
